MakeID,MakeName,ModelID,ModelName,BodyID,BodyType,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Chevrolet,443,Venture,20,Minivan,49,52,50,51,45,46,36,43,21,23,21
20,Chevrolet,26,Volt,5,5-door/4-door hatchback,0,0,0,0,0,2,4,0,2,0,4
23,GMC,8,Acadia (2007-2012 only.  For 2013 on see model 423.),6,Station Wagon,2,6,9,12,8,10,12,18,16,13,23
23,GMC,423,Acadia (2013 on. For 2007-2012 see model 008.),15,Large utility,0,0,0,1,1,3,9,11,16,18,13
23,GMC,981,Bus**: Conventional (Engine out front),50,School Bus,0,0,0,0,0,0,0,0,0,0,0
23,GMC,481,"C, K, R, V-series pickup/     Sierra",31,Standard pickup,328,282,298,301,328,322,375,319,275,312,365
23,GMC,7,Caballero,10,Auto-based pickup,0,0,0,0,0,0,0,1,0,0,0
23,GMC,472,Canyon,30,Compact pickup,16,18,10,26,21,13,18,18,23,15,23
23,GMC,421,Fullsize Jimmy/Yukon,15,Large utility,72,79,76,105,69,83,86,72,93,99,88
23,GMC,461,G-series van/Savana,21,Large Van,28,19,27,24,15,23,22,28,27,29,26
23,GMC,401,Jimmy/Typhoon/Envoy,14,Compact utility,109,120,110,128,112,119,136,137,130,77,110
23,GMC,881,Medium/Heavy - CBE,60,Step van,13,9,17,10,1,4,9,10,10,3,16
23,GMC,890,Medium/Heavy – COE entry position unknown,60,Step van,0,0,0,0,0,0,0,0,0,0,0
23,GMC,883,Medium/Heavy – COE high entry,60,Step van,0,1,0,0,1,0,0,0,0,2,1
23,GMC,882,Medium/Heavy – COE low entry,60,Step van,0,2,2,1,1,2,0,0,5,1,1
23,GMC,884,Medium/Heavy – Unknown engine location,60,Step van,1,0,0,2,2,1,1,0,1,0,0
